X,Y,INCIDENT I,DESCRIPTIO,START_DT,MODIFIED_D,QUADRANT,Longitude,Latitude,location,COUNT_1
-114.056204755458,51.0659893861571,Southbound Edmonton Trail at 15 Avenue NE,Single vehicle incident.,02/14/2017 05:56:47 PM,02/14/2017 06:20:46 PM,NE,-114.056204755458,51.0659893861571,"(51.0659893861571, -114.056204755458)",3
-114.155055603589,51.1147270037248,John Laurie Boulevard at 53 Street NW,2 vehicle incident.,02/14/2017 06:40:46 PM,02/14/2017 06:42:26 PM,NW,-114.155055603589,51.1147270037248,"(51.1147270037248, -114.155055603589)",4
-114.074252794986,51.1019698345886,Northmount Drive at Thorneycroft Drive NW,2 vehicle incident.,02/14/2017 09:00:12 PM,02/14/2017 09:01:11 PM,NW,-114.074252794986,51.1019698345886,"(51.1019698345886, -114.074252794986)",1
-114.011069831956,50.9508144056894,Northbound Deerfoot Trail at 24 Street SE,Single vehicle incident.,02/15/2017 12:03:22 AM,02/15/2017 12:04:53 AM,SE,-114.011069831956,50.9508144056894,"(50.9508144056894, -114.011069831956)",13
-113.999507463659,51.0154057674184,Eastbound Peigan Trail at 26 Street SE,Single vehicle incident.,02/15/2017 07:46:29 AM,02/15/2017 07:49:54 AM,SE,-113.999507463659,51.0154057674184,"(51.0154057674184, -113.999507463659)",7
-114.118131860844,51.0082010626085,Southbound Crowchild Trail at 50 Avenue SW,2 vehicle incident.,02/15/2017 08:48:26 AM,02/15/2017 08:50:16 AM,SW,-114.118131860844,51.0082010626085,"(51.0082010626085, -114.118131860844)",1
-114.209112221664,51.0835855318146,Westbound 16 Avenue at Bowfort Road NW,Single vehicle incident.,02/15/2017 10:17:37 AM,02/15/2017 10:19:11 AM,NW,-114.209112221664,51.0835855318146,"(51.0835855318146, -114.209112221664)",1
-114.068768219264,50.9686342652326,Bonaventure Drive at 94 Avenue SE,2 vehicle incident.,02/15/2017 10:43:46 AM,02/15/2017 10:44:36 AM,SE,-114.068768219264,50.9686342652326,"(50.9686342652326, -114.068768219264)",1
-114.106125423731,51.0491480905953,Eastbound Memorial Drive at 19 Street NW,2 vehicle incident.,02/15/2017 12:51:18 PM,02/15/2017 12:52:30 PM,NW,-114.106125423731,51.0491480905953,"(51.0491480905953, -114.106125423731)",5
-113.958800382341,50.931567762864,Eastbound 130 Avenue at 52 Street SE,2 vehicle incident.,02/15/2017 01:23:44 PM,02/15/2017 01:24:39 PM,SE,-113.958800382341,50.931567762864,"(50.931567762864, -113.958800382341)",12
-113.989282376106,51.0690459585901,Sunridge Way at 32 Street NE,Incident involving a pedestrian.,02/15/2017 01:48:45 PM,02/15/2017 01:49:46 PM,NE,-113.989282376106,51.0690459585901,"(51.0690459585901, -113.989282376106)",3
-114.019434255636,51.0488598764172,Northbound Deerfoot Trail at Memorial Drive SE,Multi vehicle incident blocking the right lane.,02/15/2017 02:11:40 PM,02/15/2017 02:13:33 PM,SE,-114.019434255636,51.0488598764172,"(51.0488598764172, -114.019434255636)",79
-114.039173086226,50.9941566757218,Southbound Deerfoot Trail approaching Glenmore Trail SE,Multi vehicle incident in the left lane,02/15/2017 03:45:50 PM,02/15/2017 03:50:41 PM,SE,-114.039173086226,50.9941566757218,"(50.9941566757218, -114.039173086226)",107
-114.035543355644,50.9866004563659,Southbound Deerfoot Trail after Glenmore Trail SE,2 vehicle incident in the left lane,02/15/2017 04:42:40 PM,02/15/2017 04:44:31 PM,SE,-114.035543355644,50.9866004563659,"(50.9866004563659, -114.035543355644)",1
-114.0344527258,50.9965267981236,Southbound Deerfoot Trail approaching Glenmore Trail SE,2 vehicle incident,02/15/2017 04:30:43 PM,02/15/2017 04:44:31 PM,SE,-114.0344527258,50.9965267981236,"(50.9965267981236, -114.0344527258)",1
-114.083760617465,51.04803328176,Westbound 6 Avenue at 9 Street SW,Multi vehicle incident,02/15/2017 05:21:29 PM,02/15/2017 05:22:32 PM,SW,-114.083760617465,51.04803328176,"(51.04803328176, -114.083760617465)",1
-114.117825801179,51.0515028880757,Westbound Memorial Drive exit to Crowchild Trail NW,Multi vehicle incident,02/15/2017 05:15:52 PM,02/15/2017 05:22:32 PM,NW,-114.117825801179,51.0515028880757,"(51.0515028880757, -114.117825801179)",20
